"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","DVD","BoxOffice","Production","Website","Response"
"11","Disraeli","1929","PASSED","01 Nov 1929","90 min","Biography, Drama, History","Alfred E. Green","Julien Josephson (screen play)","George Arliss, Doris Lloyd, David Torrence, Joan Bennett","Biopic of the famed British Prime Minister focusing on his concern about Russia's growing interest in the Indian subcontinent and his attempts to buy the Suez Canal. He sees the Canal as the key strategic resource in maintaining the Empire in the East but is unpopular in many quarters. With antisemitism rife at the time, Disraeli finds little support for his plan to purchase the canal or his foreign policy in general. There is no doubt that the Russians are plotting against British interests and he is surrounded by spies, even in his office at 10 Downing St. When the Bank of England refuses to finance the purchase of the available shares he turns to private sources to raise the available cash only to find the conspirators one step ahead of him.","English","USA","Won 1 Oscar. Another 1 win & 2 nominations.","http://ia.media-imdb.com/images/M/MV5BMTc1NTAxOTExMV5BMl5BanBnXkFtZTgwMDk1MjgwMjE@._V1_SX300.jpg","N/A","6.5","694","tt0019823","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","2.5","51","29 Apr 2008","N/A","A & E","N/A","True"
"12","The Divorcee","1930","PASSED","19 Apr 1930","84 min","Romance, Drama","Robert Z. Leonard","Ursula Parrott (based on a novel by), Nick Grinde (treatment), Zelda Sears (treatment), John Meehan (continuity and dialogue)","Norma Shearer, Chester Morris, Conrad Nagel, Robert Montgomery","Jerry and Ted are young, in love, and part of the New York 'in-crowd'. Jerry's decision to marry Ted crushes a yearning Paul. Distraught Paul gets drunk and wrecks his car, disfiguring young Dorothy's face in the process. Out of pity, Paul marries Dorothy. Years later, the apparent perfect marriage of Ted and Jerry falls apart from infidelity on both sides. Inwardly unhappy, popular Jerry lives a party life while Ted sinks into a life of alcoholism. Jerry then runs into Paul, who still loves her. After spending time together with Jerry, Paul plans to divorce Dorothy. When Jerry sees Dorothy again, she has second thoughts about where her life is heading.","English, French","USA","Won 1 Oscar. Another 3 nominations.","http://ia.media-imdb.com/images/M/MV5BMTk5NzQzNjEwNV5BMl5BanBnXkFtZTgwNjA2NTAwMjE@._V1_SX300.jpg","N/A","6.9","1,768","tt0020827","movie","75","fresh","6.4","8","6","2","N/A","63","3.5","780","04 Mar 2008","N/A","MGM","N/A","True"
"13","The Love Parade","1929","APPROVED","N/A","107 min","Comedy, Musical, Romance","Ernst Lubitsch","Ernest Vajda (by), Guy Bolton (by), Leon Xanrof (from the play: ""The Prince Consort""), Jules Chancel (from the play: ""The Prince Consort"")","Maurice Chevalier, Jeanette MacDonald, Lupino Lane, Lillian Roth","Queen Louise's cabinet are worried that she will become an old maid, and are delighted when she marries the rougish Count Renard. Unfortunately, he finds his position as Queen's Consort unsatisfying and without purpose, and the marriage soon runs into difficulties.","English, French","USA","Nominated for 6 Oscars. Another 1 win.","http://ia.media-imdb.com/images/M/MV5BMjE1MTk4NjczNl5BMl5BanBnXkFtZTgwMjkwMDY0MjE@._V1_SX300.jpg","N/A","7.3","1,276","tt0020112","movie","100","fresh","7.9","6","6","0","N/A","79","3.8","401","12 Feb 2008","N/A","Paramount Pictures","N/A","True"
"14","Cimarron","1931","PASSED","09 Feb 1931","123 min","Drama, Western","Wesley Ruggles","Edna Ferber (novel), Howard Estabrook (screen version), Howard Estabrook (dialogue)","Richard Dix, Irene Dunne, Estelle Taylor, Nance O'Neil","When the government opens up the Oklahoma territory for settlement, restless Yancey Cravat claims a plot of the free land for himself and moves his family there from Wichita. A newspaperman, lawyer, and just about everything else, Cravat soon becomes a leading citizen of the boom town of Osage. Once the town is established, however, he begins to feel confined once again, and heads for the Cherokee Strip, leaving his family behind. During this and other absences, his wife Sabra must learn to take care of herself and soon becomes prominent in her own right.","English, French","USA","Won 3 Oscars. Another 2 wins & 4 nominations.","http://ia.media-imdb.com/images/M/MV5BMjExODI2MjE4NF5BMl5BanBnXkFtZTgwMDA2NTAwMjE@._V1_SX300.jpg","N/A","6.0","3,351","tt0021746","movie","53","rotten","5.8","17","9","8","Cimarron is supported by a strong performance from Irene Dunne, but uneven in basically every other regard, and riddled with potentially offensive stereotypes.","25","2.8","1424","31 Jan 2006","N/A","MGM Home Entertainment","N/A","True"
"15","East Lynne","1931","N/A","01 Mar 1931","102 min","Drama","Frank Lloyd","Tom Barry, Bradley King, Mrs. Henry Wood (novel)","Ann Harding, Clive Brook, Conrad Nagel, Cecilia Loftus","N/A","English","USA","N/A","N/A","N/A","7.1","67","tt0021826","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","0","3.4","86","N/A","N/A","N/A","N/A","True"
"16","The Front Page","1931","TV-PG","04 Apr 1931","101 min","Comedy","Lewis Milestone","Ben Hecht (by), Charles MacArthur (by), Bartlett Cormack (adaptation), Charles Lederer (additional dialogue)","Adolphe Menjou, Pat O'Brien, Mary Brian, Edward Everett Horton","Hildy Johnson, newspaper reporter, is engaged to Peggy Grant and planning to move to New York for a higher paying advertising job. The court press room is full of lame reporters who invent stories as much as write them. All are waiting to cover the hanging of Earl Williams. When Williams escapes from the inept Sheriff, Hildy seizes the opportunity by using his $260 honeymoon money to payoff an insider and get the scoop on the escape. However, Walter Burns, the Post's editor, is slow to repay Hildy back, hoping that he will stay on the story. Getting a major scoop looks possible when Hildy stumbles onto the bewildered escapee and hides him in a roll-top desk in the press room. Burns shows up to help. Can they keep Williams' whereabouts secret long enough to get the scoop, especially with the Sheriff and other reporters hovering around?","English","USA","Nominated for 3 Oscars. Another 2 wins.","http://ia.media-imdb.com/images/M/MV5BMjM4NDIwNjc3NV5BMl5BanBnXkFtZTgwODMyMzM0MzE@._V1_SX300.jpg","N/A","6.9","1,290","tt0021890","movie","91","fresh","7.4","11","10","1","N/A","62","3.2","960","08 May 2001","N/A","United Artists","N/A","True"
"17","Skippy","1931","APPROVED","25 Apr 1931","85 min","Family, Drama, Comedy","Norman Taurog","Percy Crosby (comic strip), Joseph L. Mankiewicz, Don Marquis (additional dialogue), Norman Z. McLeod, Sam Mintz","Jackie Cooper, Robert Coogan, Mitzi Green, Jackie Searl","Precocious adolescent Skippy Skinner spends most of his time trying to get around doing those things that his parents want him to do (like brush his teeth), while doing those things his parents don't want him to do. Chief among the latter is spending time across the railroad tracks in Shantytown, instead of playing with ""clean"" neighborhood kids like brother and sister Sidney and Eloise. Skippy's father, Dr. Herbert Skinner, the city's head of the health board, in particular doesn't like Skippy spending time there as Dr. Skinner is a verminophobe, and believes Shantytown is dirty and unhealthy. On Skippy's latest visit to Shantytown when he meets a new friend named Sooky Wayne, he learns that Shantytown is being torn down and its poor residents have to move. And Sooky's mongrel and unlicensed (since Mrs. Wayne can't afford the $3 license fee) dog Penny is captured by the city's dog catcher. As Skippy does whatever he can to raise the $3 to get Penny back for his new friend (which includes breaking into his piggy bank, holding a variety show for the Shantytown kids, and trying to ask his father for the money), Skippy learns that one person seems to be responsible for both these problems in his life, which makes the already tenuous relationship with this person even more tenuous.","English","USA","Won 1 Oscar. Another 3 nominations.","http://ia.media-imdb.com/images/M/MV5BMTg0Mzc1OTg4NF5BMl5BanBnXkFtZTcwMDM1MjQxMw@@._V1_SX300.jpg","N/A","6.3","428","tt0022397","movie","100","fresh","7.0","6","6","0","N/A","54","3.3","295","N/A","N/A","Paramount Pictures","N/A","True"
"18","Trader Horn","1931","PASSED","23 May 1931","122 min","Adventure, Romance","W.S. Van Dyke","Ethelreda Lewis (based on the book by), Dale Van Every (adaptation), John T. Neville (adaptation), Richard Schayer (screen play), Cyril Hume (dialogue)","Harry Carey, Edwina Booth, Duncan Renaldo, Mutia Omoolu","A veteran white trader in the darkest Africa of the 1870s mentors a younger companion on the mysteries of the Dark Continent. After meeting a missionary, they go in search of Nina, her kidnapped daughter, who was abducted by natives when she was young and now reigns over the savage tribe, regarded by them as a goddess. When the two men are captured and slated for horrible death by her people, she rescues them, and the trio flees the pursuing tribesmen through savage country.","English, Swahili","USA","N/A","N/A","N/A","6.5","637","tt0022495","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","True"
"19","Arrowsmith","1931","PASSED","26 Dec 1931","108 min","Drama","John Ford","Sinclair Lewis (based upon the novel by), Sidney Howard (adapted for the screen by)","Ronald Colman, Helen Hayes, Richard Bennett, A.E. Anson","Based on a Sinclair Lewis novel ""Martin Arrowsmith"". A medical researcher is sent to a plague outbreak, where he has to decide priorities for the use of a vaccine.","English, Italian, Swedish","USA","N/A","http://ia.media-imdb.com/images/M/MV5BMTU5Mjc2OTMxOF5BMl5BanBnXkFtZTYwMzg0MjA5._V1._CR1,50,257,424_SX89_AL_.jpg_V1_SX300.jpg","N/A","6.2","979","tt0021622","movie","86","fresh","7.2","7","6","1","N/A","42","3.1","296","08 Mar 2005","N/A","N/A","N/A","True"
"20","Bad Girl","1931","N/A","13 Aug 1931","90 min","Drama","Frank Borzage","Viña Delmar (novel), Brian Marlow (play), Edwin J. Burke (continuity & dialogue)","James Dunn, Sally Eilers, Minna Gombell","A mug and a jane: Dorothy knows that every guy is going to make a pass at her; Eddie knows that every gal wastes her money on good times. He's saving to open a repair shop. When the two of them meet, they can't believe they get along. One evening he leaves her waiting in the rain; she finds his apartment and reads him the riot act. They end up spooning and napping until 4 AM. She's afraid of her brother, who's her guardian, so Eddie figures she should tell her brother that she's getting married the next morning. Dorothy tries out the story but knows Eddie won't show up. It's the first of a series of promises, fears, miscalculations, and hard knocks. Where will they end up?","English","USA","Won 2 Oscars. Another 1 nomination.","http://ia.media-imdb.com/images/M/MV5BMjI2NDAwNDAyM15BMl5BanBnXkFtZTcwNjM1MjQxMw@@._V1_SX300.jpg","N/A","6.7","553","tt0021635","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","46","3.5","262","09 Dec 2008","N/A","N/A","N/A","True"
"21","The Champ","1931","PASSED","21 Nov 1931","86 min","Drama, Family, Sport","King Vidor","Frances Marion (story), Leonard Praskins (dialogue continuity), Wanda Tuchock (additional dialogue)","Wallace Beery, Jackie Cooper, Irene Rich, Roscoe Ates","Dink Purcell loves his alcoholic father, ex-heavyweight champion Andy ""Champ"" Purcell, despite his frequent binges, his frequent gambling and their squalid living conditions. And there's nothing Andy wouldn't do for Dink. When Andy wins a race horse gambling, he gives it to Dink and they race it at a Tijuana track. There, Dink meets Linda Carleton, a race horse owner herself, and they have an immediate rapport. But Linda's rich husband sees Andy and realizes Dink is Linda's son, who she gave up when she and Andy divorced. Andy is bribed $200 to allow Dink to visit with Linda, but refuses to allow Dink to spend six months with the Carletons. When Andy loses the horse gambling and winds up in jail after a drunken tirade, he realizes Dink's place is with his mother. Dink tearfully goes but sneaks out and returns at his first opportunity, filling a depressed Andy with a desire to make good. So Andy goes into training after his managers arrange a boxing match with the Mexican champion.","English","USA","Won 2 Oscars. Another 3 nominations.","http://ia.media-imdb.com/images/M/MV5BNzI0ODE3NzI3OV5BMl5BanBnXkFtZTgwMDIzMTkxMTE@._V1_SX300.jpg","N/A","7.3","1,945","tt0021730","movie","83","fresh","6.6","6","5","1","N/A","79","3.8","570","31 Jan 2006","N/A","MGM","N/A","True"
"22","Five Star Final","1931","N/A","26 Sep 1931","89 min","Crime, Drama, Film-Noir","Mervyn LeRoy","Louis Weitzenkorn (based on the play by), Byron Morgan (screen play), Robert Lord (adaptation)","Edward G. Robinson, Marian Marsh, H.B. Warner, Anthony Bushell","Hinchcliffe, the ruthless publisher of a sleazy New York tabloid, is concerned that the ethical journalistic policies of City Editor Randall have caused a drop in circulation. He pressures the newsman to run more sensational stories including resurrecting the twenty year old Vorhees Murder Case. Although the perpetrator's actions were ultimately judged justifiable, and she has been subsequently living an exemplary life in anonymity, Hunchcliffe insists Randall revisit the story. Randall assigns Isopod, an alcoholic degenerate, to dig up anything lurid that he find. The unprincipled reporter fraudulently insinuates himself into the Vorhees' home masquerading as a minister and gets the expose he sought. Yellow journalism triumphs, and a decent woman's name gets dragged through the mud again... with tragic consequences.","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BMTM1ODIyMDAzMl5BMl5BanBnXkFtZTcwMTI2NTk5Mw@@._V1._CR10,63,342,435_SY132_CR7,0,89,132_AL_.jpg_V1_SX300.jpg","N/A","7.3","1,032","tt0021873","movie","91","fresh","7.2","11","10","1","N/A","75","3.7","233","N/A","N/A","Vitaphone Corporation","N/A","True"
"23","Grand Hotel","1932","PASSED","11 Sep 1932","112 min","Drama, Romance","Edmund Goulding","Vicki Baum (by), William Absalom Drake (play)","Greta Garbo, John Barrymore, Joan Crawford, Wallace Beery","Berlin's plushest, most expensive hotel is the setting where in the words of Dr. Otternschlag ""People come, people go. Nothing ever happens."". The doctor is usually drunk so he missed the fact that Baron von Geigern is broke and trying to steal eccentric dancer Grusinskaya's pearls. He ends up stealing her heart instead. Powerful German businessman Preysing brow beats Kringelein, one of his company's lowly bookkeepers but it is the terminally ill Kringelein who holds all the cards in the end. Meanwhile, the Baron also steals the heart of Preysing's mistress, Flaemmchen, but she doesn't end up with either one of them in the end...","English, Russian","USA","Won 1 Oscar. Another 1 win & 1 nomination.","http://ia.media-imdb.com/images/M/MV5BMTQxNDc4MDcwNF5BMl5BanBnXkFtZTgwNzY0MjUzMjE@._V1_SX300.jpg","N/A","7.6","12,125","tt0022958","movie","86","fresh","7.8","35","30","5","Perhaps less a true film than a series of star-studded vignettes, Grand Hotel still remains an entertaining look back at a bygone Hollywood era.","77","3.8","6811","03 Feb 2004","N/A","MGM Home Entertainment","N/A","True"
"24","One Hour with You","1932","PASSED","23 Mar 1932","80 min","Comedy, Musical, Romance","Ernst Lubitsch, George Cukor","Lothar Schmidt (play), Samson Raphaelson","Maurice Chevalier, Jeanette MacDonald, Genevieve Tobin, Charles Ruggles","Andre and Colette Bertier are happily married. When Colette introduces her husband to her flirtatious best friend, Mitzi, he does his best to resist her advances. But she is persistent, and very cute, and he succumbs. Mitzi's husband wants to divorce her, and has been having her tailed. Andre gets caught, and must confess to his wife. But Colette has had problems resisting the attentions of another man herself, and they forgive each other.","English","USA","N/A","http://ia.media-imdb.com/images/M/MV5BMTQwMDg0MjgwOV5BMl5BanBnXkFtZTcwNDk4Mjc3MQ@@._V1_SX300.jpg","N/A","7.4","1,336","tt0023303","movie","100","fresh","7.7","5","5","0","N/A","79","3.7","615","12 Feb 2008","N/A","Paramount Pictures","N/A","True"
"25","Shanghai Express","1932","PASSED","12 Feb 1932","82 min","Adventure, Drama, Romance","Josef von Sternberg","Jules Furthman (screen play by), Harry Hervey (based on the story by)","Marlene Dietrich, Clive Brook, Anna May Wong, Warner Oland","Many passengers on the Shanghai Express are more concerned that the notorious Shanghai Lil is on board than the fact that a civil war is going on that may make the trip take more than three days. The British Army doctor, Donald Harvey, knew Lil before she became a famous ""coaster."" A fellow passenger defines a coaster as ""a woman who lives by her wits along the China coast."" When Chinese guerillas stop the train, Dr. Harvey is selected as the hostage. Lil saves him, but can she make him believe that she really hasn't changed from the woman he loved five years before?","English, French, Cantonese, German","USA","Won 1 Oscar. Another 2 nominations.","http://ia.media-imdb.com/images/M/MV5BMjE4OTY2NjYwNl5BMl5BanBnXkFtZTgwOTEyOTYyMjE@._V1_SX300.jpg","N/A","7.5","4,435","tt0023458","movie","100","fresh","8.6","15","15","0","N/A","82","3.9","1452","20 Oct 1993","N/A","Paramount Pictures","N/A","True"
"26","The Smiling Lieutenant","1931","PASSED","01 Aug 1931","93 min","Comedy, Romance, Musical","Ernst Lubitsch","Leopold Jacobson (operetta), Felix Dormann (operetta), Hans Müller (novel), Ernest Vajda (screenplay), Samson Raphaelson (screenplay)","Maurice Chevalier, Claudette Colbert, Miriam Hopkins, Charles Ruggles","Lieutenant Niki of the Austrian royal guard has a new girlfriend, Franzi. He's crazy about her and is smiling at her while on duty in the street. King Adolf and his daughter Princess Anna from the neighboring kingdom of Flausenthurm drive by, and Anna intercepts a wink meant for Franzi. She falls for Niki, marries him (he has no choice in the matter), and whisks him off to Flausenthurm. Franzi follows and enjoys a brief affair with Niki before Anna finds out. Franzi, much more experienced in the ways of the world, gives Anna lessons on how to win the affections of her husband.","English, French","USA","N/A","http://ia.media-imdb.com/images/M/MV5BMTQ0MDk0MTU5MV5BMl5BanBnXkFtZTgwNzU3ODgwMzE@._V1_SX300.jpg","N/A","7.9","2,445","tt0022074","movie","88","fresh","7.7","8","7","1","N/A","71","3.7","429","12 Feb 2008","N/A","Paramount Pictures","N/A","True"
"27","42nd Street","1933","UNRATED","11 Mar 1933","89 min","Comedy, Musical, Romance","Lloyd Bacon","Rian James (screen play), James Seymour (screen play), Bradford Ropes (based on the novel by)","Warner Baxter, Bebe Daniels, George Brent, Ruby Keeler","Renowned Broadway producer/director Julian Marsh is hired to put together a new musical revue. It's being financed by Abner Dillon to provide a starring vehicle for his girlfriend, songstress Dorothy Brock. Marsh, who is quite ill, is a difficult task master working long hours and continually pushing the cast to do better. When Brock breaks her ankle one of the chorus girls, Peggy Sawyer, gets her big chance to be the star. She also finds romance along the way.","English","USA","Nominated for 2 Oscars. Another 1 win.","http://ia.media-imdb.com/images/M/MV5BMTUzNDExNjQ3Ml5BMl5BanBnXkFtZTgwMjM2NDgzMTE@._V1_SX300.jpg","N/A","7.7","7,498","tt0024034","movie","95","fresh","7.8","21","20","1","N/A","75","3.6","7445","21 Mar 2006","N/A","MGM Home Entertainment","N/A","True"
